title|url|date|source
"DepEd still verifying reports of 750 GB data breach | Inquirer News"|https://newsinfo.inquirer.net/1904278/deped-still-verifying-reports-of-750-gb-data-breach|2024-02-14|Inquirer.net
DAX schwächer erwartet, kein Handel in China: Thyssenkrupp, Delivery Hero, SFC Energy, Cisco Systems, Varta, Siemens, BASF, TUI, Rheinmetall und Renk im Fokus - das ist heute wichtig|https://www.deraktionaer.de/artikel/indizes/dax-schwaecher-erwartet-kein-handel-in-china-thyssenkrupp-delivery-hero-sfc-energy-cisco-systems-varta-siemens-basf-tui-rheinmetall-und-renk-im-fokus-das-ist-heute-wichtig-20350396.html|2024-02-14|Der Aktionär
Forget Passwords and Badges: Your Body Is Your Next Security Key|https://www.livemint.com/technology/forget-passwords-and-badges-your-body-is-your-next-security-key-11707892613563.html|2024-02-14|mint
Albanian authorities accuse Iranian-backed hackers of cyberattack on Institute of Statistics|https://gazette.com/ap/international/albanian-authorities-accuse-iranian-backed-hackers-of-cyberattack-on-institute-of-statistics/article_e60392c9-829e-539d-9596-cc904891a776.html|2024-02-14|Colorado Springs Gazette
Marktbericht: Zinssorgen lasten auf dem DAX|https://www.tagesschau.de/wirtschaft/finanzen/marktberichte/marktbericht-dax-kurse-zinsaengste-inflation-fed-dow-gold-oel-apple-100.html|2024-02-14|tagesschau.de
MORNING BRIEFING - Deutschland/Europa|https://www.finanzen.at/nachrichten/aktien/morning-briefing-deutschland-europa-1033064981|2024-02-14|finanzen.at
Varta: Auch das noch!|https://www.finanznachrichten.de/nachrichten-2024-02/61399215-varta-auch-das-noch-124.htm|2024-02-14|FinanzNachrichten.de
MORNING BRIEFING - Deutschland/Europa|https://www.finanzen.ch/nachrichten/aktien/morning-briefing-deutschland-europa-1033064979|2024-02-14|finanzen.ch
DarkMe RAT Exploits Microsoft Defender SmartScreen Vulnerability C...|https://bnnbreaking.com/tech/darkme-rat-exploits-microsoft-defender-smartscreen-vulnerability-cve-2024-21412|2024-02-14|BNN Breaking - Breaking News, World News and Local News. The People's Network.
MORNING BRIEFING - Deutschland/Europa -2-|https://www.finanzen.ch/nachrichten/aktien/morning-briefing-deutschland-europa-2--1033064980|2024-02-14|finanzen.ch
MORNING BRIEFING - Deutschland/Europa -2-|https://www.finanzen.at/nachrichten/aktien/morning-briefing-deutschland-europa-2--1033064982|2024-02-14|finanzen.at
A New Cause for Concern: Power Integrations Adds a New Cyber Security Risk - TipRanks.com|https://www.tipranks.com/news/a-new-cause-for-concern-power-integrations-adds-a-new-cyber-security-risk|2024-02-14|TipRanks Financial
Cyberattacks On Prominent Institutions, Pipelines, Bank Hit|https://thecyberexpress.com/cyberattacks-on-prominent-institutions/|2024-02-14|The Cyber Express
MORNING BRIEFING - Deutschland/Europa -2-|https://de.marketscreener.com/kurs/rohstoff/BRENT-OIL-4948/news/MORNING-BRIEFING-Deutschland-Europa-2-45945902/|2024-02-14|de.marketscreener.com
MORNING BRIEFING - Deutschland/Europa|https://de.marketscreener.com/kurs/kryptowahrung/NEUTRINO-USD-USDN-USD-141794904/news/MORNING-BRIEFING-Deutschland-Europa-45945900/|2024-02-14|de.marketscreener.com
Après la cyberattaque, réouverture des urgences d'Armentières|https://www.zdnet.fr/actualites/apres-la-cyberattaque-reouverture-des-urgences-d-armentieres-39964216.htm|2024-02-14|ZDNet
Albanian Authorities Accuse Iranian-Backed Hackers of Cyberattack on Institute of Statistics|https://www.usnews.com/news/world/articles/2024-02-14/albanian-authorities-accuse-iranian-backed-hackers-of-cyberattack-on-institute-of-statistics|2024-02-14|U.S. News & World Report
Varta: Auch das noch!|https://www.deraktionaer.de/artikel/aktien/varta-auch-das-noch--20350391.html|2024-02-14|Der Aktionär
Albanian authorities accuse Iranian-backed hackers of cyberattack...|https://www.dailymail.co.uk/wires/ap/article-13081563/Albanian-authorities-accuse-Iranian-backed-hackers-cyberattack-Institute-Statistics.html|2024-02-14|Daily Mail Online
Albanian authorities accuse Iranian-backed hackers of cyberattack on Institute of Statistics|https://www.startribune.com/albanian-authorities-accuse-iranian-backed-hackers-of-cyberattack-on-institute-of-statistics/600343336/|2024-02-14|Star Tribune
Albanian authorities accuse Iranian-backed hackers of cyberattack on Institute of Statistics|https://baynews9.com/fl/tampa/ap-top-news/2024/02/14/albanian-authorities-accuse-iranian-backed-hackers-of-cyberattack-on-institute-of-statistics|2024-02-14|Spectrum News Bay News 9
NCSA holds NSD events at Expo|https://thepeninsulaqatar.com/article/14/02/2024/ncsa-holds-nsd-events-at-expo|2024-02-14|The Peninsula
Albanian authorities accuse Iranian-backed hackers of cyberattack on Institute of Statistics|https://www.seattletimes.com/business/technology/albanian-authorities-accuse-iranian-backed-hackers-of-cyberattack-on-institute-of-statistics/|2024-02-14|The Seattle Times
Cybersecure India: Global Cybersecurity Association launches GCA Index - ET CISO|https://ciso.economictimes.indiatimes.com/news/grc/cybersecure-india-global-cybersecurity-association-launches-gca-index/107681305|2024-02-14|ETCISO.in
Albanian authorities accuse Iranian-backed hackers of cyberattack on Institute of Statistics|https://www.sandiegouniontribune.com/business/nation/story/2024-02-13/albanian-authorities-accuse-iranian-backed-hackers-of-cyberattack-on-institute-of-statistics|2024-02-14|San Diego Union-Tribune
Albanian authorities accuse Iranian-backed hackers of cyberattack on Institute of Statistics|https://www.messenger-inquirer.com/ap/ap_international_news/albanian-authorities-accuse-iranian-backed-hackers-of-cyberattack-on-institute-of-statistics/article_c9c93b86-04ba-577f-8ca4-991d01aaee31.html|2024-02-14|Owensboro Messenger-Inquirer
Albanian authorities accuse Iranian-backed hackers of cyberattack on Institute of Statistics|https://www.newsday.com/news/nation/Albania-Iran-hackers-cyberattack-statistics-i51098|2024-02-14|Newsday
Albanian authorities accuse Iranian-backed hackers of cyberattack on Institute of Statistics|https://finance.yahoo.com/news/albanian-authorities-accuse-iranian-backed-060752572.html|2024-02-14|Yahoo! Finance
Albanian authorities accuse Iranian-backed hackers of cyberattack on Institute of Statistics|https://abcnews.go.com/Technology/wireStory/albanian-authorities-accuse-iranian-backed-hackers-cyberattack-institute-107217647|2024-02-14|ABC News
Albanian authorities accuse Iranian-backed hackers of cyberattack on Institute of Statistics|https://abcnews.go.com/International/wireStory/albanian-authorities-accuse-iranian-backed-hackers-cyberattack-institute-107217646|2024-02-14|ABC News
