Date|Group|Nombre d'attaques
2023-10-21|donutleaks|2
2023-10-21|alphv|2
2023-10-20|play|24
2023-10-20|clop|1
2023-10-20|lockbit3|6
2023-10-20|ransomed|1
2023-10-20|ransomedvc|1
2023-10-20|hunters|1
2023-10-20|akira|6
2023-10-20|alphv|2
2023-10-19|monti|2
2023-10-19|blacksuit|2
2023-10-19|play|2
2023-10-19|akira|6
2023-10-19|lockbit3|11
2023-10-19|alphv|4
2023-10-18|lockbit3|2
2023-10-18|bianlian|13
2023-10-18|noescape|2
2023-10-17|0mega|2
2023-10-17|alphv|4
2023-10-17|lockbit3|2
2023-10-17|blackbasta|8
2023-10-17|incransom|2
2023-10-17|noescape|2
2023-10-16|lockbit3|4
2023-10-16|cactus|4
2023-10-16|medusa|10
2023-10-16|ransomedvc|1
2023-10-16|ransomed|3
2023-10-16|noescape|2
2023-10-16|alphv|2
2023-10-16|blackbasta|3
2023-10-15|snatch|2
2023-10-15|ransomedvc|3
2023-10-15|arvinclub|2
2023-10-15|ransomed|3
2023-10-15|alphv|2
2023-10-14|mallox|2
2023-10-14|alphv|2
2023-10-14|arvinclub|2
2023-10-14|rhysida|2
2023-10-14|ransomedvc|1
2023-10-13|snatch|2
2023-10-13|incransom|4
2023-10-13|arvinclub|2
2023-10-13|ransomedvc|1
2023-10-13|noescape|2
2023-10-13|trigona|2
2023-10-13|alphv|2
2023-10-13|blacksuit|2
2023-10-13|knight|4
2023-10-13|ransomed|12
2023-10-12|ransomedvc|2
2023-10-12|incransom|2
2023-10-12|noescape|2
2023-10-12|trigona|2
2023-10-12|moneymessage|2
2023-10-12|medusa|9
2023-10-12|8base|4
2023-10-12|bianlian|1
2023-10-11|alphv|6
2023-10-11|ragnarlocker|4
2023-10-11|noescape|4
2023-10-11|bianlian|6
2023-10-11|dunghill_leak|1
2023-10-11|incransom|4
2023-10-11|blackbasta|7
2023-10-11|everest|2
2023-10-11|play|1
2023-10-10|noescape|5
2023-10-10|play|1
2023-10-10|snatch|2
2023-10-10|lockbit3|2
2023-10-10|knight|4
2023-10-10|cuba|2
2023-10-10|8base|2
2023-10-10|ransomhouse|2
2023-10-09|play|14
2023-10-09|noescape|7
2023-10-09|knight|1
2023-10-09|alphv|10
2023-10-09|lockbit3|10
2023-10-09|qilin|2
2023-10-09|monti|2
2023-10-09|rhysida|2
2023-10-08|lockbit3|4
2023-10-08|knight|1
2023-10-08|arvinclub|2
2023-10-08|ransomedvc|11
2023-10-08|alphv|2
2023-10-08|8base|2
2023-10-07|monti|2
2023-10-07|ransomed|2
2023-10-07|cactus|2
2023-10-07|akira|2
2023-10-07|ransomedvc|2
2023-10-06|lockbit3|16
2023-10-06|ragnarlocker|2
2023-10-06|monti|2
2023-10-06|ransomed|2
2023-10-06|ransomedvc|1
2023-10-06|medusa|2
2023-10-06|noescape|2
2023-10-06|rhysida|2
2023-10-05|lockbit3|2
2023-10-05|bianlian|6
2023-10-05|cactus|4
2023-10-05|ragnarlocker|2
2023-10-05|akira|2
2023-10-05|donutleaks|2
2023-10-05|noescape|2
2023-10-04|lockbit3|2
2023-10-04|qilin|2
2023-10-04|blackbyte|2
2023-10-04|play|12
2023-10-04|alphv|4
2023-10-04|akira|2
2023-10-04|0mega|2
2023-10-04|rhysida|2
2023-10-03|monti|2
2023-10-03|moneymessage|4
2023-10-03|ragnarlocker|2
2023-10-03|medusa|2
2023-10-03|alphv|2
2023-10-03|lockbit3|2
2023-10-03|cuba|2
2023-10-03|8base|4
2023-10-03|knight|2
2023-10-03|mallox|2
2023-10-03|noescape|6
2023-10-03|donutleaks|1
2023-10-02|donutleaks|1
2023-10-02|lorenz|2
2023-10-02|medusalocker|1
2023-10-02|ransomblog_noname|1
2023-10-02|alphv|2
2023-10-02|medusa|5
2023-10-02|bianlian|1
2023-10-02|arvinclub|2
2023-10-02|mallox|2
2023-10-02|rhysida|2
2023-10-01|lockbit3|14
2023-10-01|monti|4
2023-10-01|arvinclub|2
2023-10-01|trigona|6
2023-10-01|alphv|2
2023-09-30|ragnarlocker|4
2023-09-30|alphv|4
2023-09-30|donutleaks|2
2023-09-29|alphv|6
2023-09-29|lockbit3|4
2023-09-29|knight|2
2023-09-29|metaencryptor|1
2023-09-29|akira|2
2023-09-29|8base|5
2023-09-28|alphv|3
2023-09-28|play|20
2023-09-28|lockbit3|6
2023-09-28|incransom|2
2023-09-28|threeam|2
2023-09-28|noescape|2
2023-09-28|8base|2
2023-09-27|akira|4
2023-09-27|cactus|4
2023-09-27|8base|2
2023-09-27|medusa|4
2023-09-26|noescape|6
2023-09-26|dunghill|5
2023-09-26|dunghill_leak|5
2023-09-26|qilin|2
2023-09-26|losttrust|106
2023-09-26|alphv|12
2023-09-26|cactus|4
2023-09-26|rhysida|2
2023-09-26|bianlian|16
2023-09-26|8base|4
2023-09-26|ransomed|14
2023-09-25|alphv|6
2023-09-25|ransomedvc|1
2023-09-25|knight|2
2023-09-25|rhysida|2
2023-09-25|ragnarlocker|2
2023-09-25|8base|6
2023-09-24|alphv|4
2023-09-24|lockbit3|2
2023-09-24|ransomedvc|12
2023-09-24|noescape|2
2023-09-24|stormous|2
2023-09-23|ransomedvc|1
2023-09-23|alphv|2
2023-09-23|stormous|2
2023-09-23|noescape|2
2023-09-23|medusa|4
2023-09-23|bianlian|2
2023-09-23|8base|4
2023-09-23|rhysida|2
2023-09-22|lockbit3|6
2023-09-22|clop|1
2023-09-22|incransom|2
2023-09-22|akira|2
2023-09-22|alphv|14
2023-09-22|ragnarlocker|6
2023-09-22|karakurt|4
2023-09-22|threeam|6
2023-09-22|rhysida|2
2023-09-21|monti|2
2023-09-21|alphv|14
2023-09-21|ragnarlocker|4
2023-09-21|bianlian|8
2023-09-21|cactus|2
2023-09-21|ransomhouse|4
2023-09-20|lockbit3|12
2023-09-20|noescape|4
2023-09-20|medusa|5
2023-09-20|incransom|6
2023-09-20|cactus|4
2023-09-20|trigona|1
2023-09-20|alphv|2
2023-09-19|monti|2
2023-09-19|lockbit3|2
2023-09-19|ragnarlocker|2
2023-09-19|alphv|2
2023-09-19|donutleaks|4
2023-09-19|cactus|2
2023-09-19|knight|2
2023-09-18|snatch|6
2023-09-18|ragnarlocker|2
2023-09-18|play|12
2023-09-18|incransom|4
2023-09-18|akira|4
2023-09-18|blackbyte|2
2023-09-18|everest|2
2023-09-18|trigona|1
2023-09-18|knight|4
2023-09-18|medusa|2
2023-09-18|noescape|3
2023-09-18|8base|2
2023-09-17|ragnarlocker|2
2023-09-17|8base|2
2023-09-16|ciphbit|5
2023-09-16|lockbit3|42
2023-09-16|alphv|2
2023-09-15|cryptbb|16
2023-09-15|ransomedvc|1
